THOMAS MILTON        202-113-5748
info MENDOZA ROSS        210-740-3422 swapped w/ CALDWELL JEREMY        892-352-6533
joe
 inc is 112 dec 299
info OLSEN CANDY        451-315-1562 swapped w/ CRAIG SHANE        256-629-5019
joe
 inc is 116 dec 296
info LUNA PARKER        743-355-8451 swapped w/ CONWAY JOANNE        254-958-3454
joe
 inc is 117 dec 294
info PARRISH LUKE        277-555-1011 swapped w/ JOHNS LUELLA        363-512-4319
joe
 inc is 120 dec 293
info MEYERS KELVIN        926-147-9067 swapped w/ ADKINS VANCE        978-845-2781
joe
 inc is 123 dec 291
info MALDONADO VIRGIE        697-830-5132 swapped w/ BENSON IRWIN        429-270-1102
joe
 inc is 124 dec 289
info PUGH AMBER        897-351-2232 swapped w/ GRAHAM LOURDES        762-639-5252
joe
 inc is 128 dec 288
info RODRIQUEZ LESLIE        242-510-8006 swapped w/ EWING LAVERNE        395-370-1942
joe
 inc is 130 dec 287
info SEARS JOLENE        556-733-1984 swapped w/ DUNLAP GLENDA        487-870-1313
joe
 inc is 132 dec 286
info PITTMAN ORVILLE        979-431-7680 swapped w/ HERRERA ESTEBAN        658-390-7987
joe
 inc is 133 dec 285
info MILES OLGA        327-837-1176 swapped w/ BLAIR DENISE        862-218-9826
joe
 inc is 135 dec 283
info MORGAN QUENTIN        654-597-7633 swapped w/ HEAD CALEB        525-228-4995
joe
 inc is 136 dec 282
info POWERS SIDNEY        456-941-8694 swapped w/ ENGLAND NITA        323-430-6393
joe
 inc is 141 dec 281
info MCCARTHY CLARA        486-931-7594 swapped w/ HARDING MILLARD        476-698-5026
joe
 inc is 142 dec 280
info MCKINNEY NORBERTO        637-419-1293 swapped w/ BAXTER DANNIE        591-238-2136
joe
 inc is 143 dec 279
info KNOX MAURO        897-778-1856 swapped w/ DAVENPORT CARLO        679-115-3770
joe
 inc is 147 dec 278
info OBRIEN ELOISE        816-141-3421 swapped w/ HART DORA        453-520-3519
joe
 inc is 149 dec 277
info ORR TOBY        760-136-8884 swapped w/ COLE NOEL        556-391-3237
joe
 inc is 150 dec 276
info MCMAHON EMMA        487-983-1200 swapped w/ ALBERT EDWARDO        228-986-5799
joe
 inc is 152 dec 275
info MOON LANDON        277-939-3853 swapped w/ BATES ROSLYN        230-909-5162
joe
 inc is 156 dec 274
info ORTEGA CARA        644-971-3610 swapped w/ HIGGINS NEWTON        688-129-4517
joe
 inc is 158 dec 273
info JUSTICE AUGUST        708-731-8109 swapped w/ ELLIOTT CLEO        577-209-8152
joe
 inc is 159 dec 272
info PACHECO TAMARA        428-924-3933 swapped w/ HARVEY GERALDINE        470-542-1038
joe
 inc is 160 dec 270
info MCCORMICK LEROY        454-916-1100 swapped w/ DAWSON MIRANDA        904-386-3439
joe
 inc is 162 dec 269
info SINGLETON KRISTIN        533-871-3422 swapped w/ GUERRA IVORY        299-454-6847
joe
 inc is 164 dec 266
info LYNN MATT        419-783-7680 swapped w/ HOWE FOREST        584-806-4564
joe
 inc is 166 dec 264
info MASSEY BENNIE        300-814-1898 swapped w/ ALSTON WILMER        677-377-7681
joe
 inc is 167 dec 263
info MCGUIRE MARLENE        874-162-4898 swapped w/ BRAY MARGARITA        529-363-5416
joe
 inc is 168 dec 261
info MUNOZ PANSY        474-851-6445 swapped w/ GARZA EDMUND        227-608-8498
joe
 inc is 169 dec 260
info OBRIEN TOBY        884-682-9271 swapped w/ CLEMENTS LYMAN        409-176-3224
joe
 inc is 171 dec 258
info LOWERY LEANNA        832-148-1703 swapped w/ BALLARD LILLY        396-967-4975
joe
 inc is 172 dec 255
info RAY BETSY        569-749-8612 swapped w/ GROSS SEBASTIAN        626-154-3452
joe
 inc is 174 dec 252
info MIDDLETON ANTWAN        251-704-1538 swapped w/ EVERETT ROSCOE        430-305-5327
joe
 inc is 181 dec 251
info POOLE NORMAN        853-462-2567 swapped w/ CONTRERAS ALBERT        595-589-1933
joe
 inc is 182 dec 250
info SAWYER KATINA        203-958-2322 swapped w/ ACEVEDO AURELIO        593-149-3903
joe
 inc is 183 dec 249
info SCHROEDER MICKEY        730-186-3375 swapped w/ GARCIA DAMION        689-508-1540
joe
 inc is 185 dec 245
info MAYS JUSTINE        900-615-8718 swapped w/ FULTON MERVIN        604-304-7596
joe
 inc is 187 dec 242
info RHODES WENDELL        810-812-5581 swapped w/ BRYANT ELWOOD        342-871-3991
joe
 inc is 189 dec 240
info ROBERTS EMANUEL        464-354-5702 swapped w/ GLENN KARA        719-129-7601
joe
 inc is 191 dec 239
info MIDDLETON SEYMOUR        384-824-3024 swapped w/ HILL DARREL        686-702-7064
joe
 inc is 192 dec 238
info POTTS FRANCIS        372-572-9572 swapped w/ FOX DAMION        617-224-1783
joe
 inc is 195 dec 237
info RIVERS DIXIE        217-652-6942 swapped w/ BRIDGES FOREST        623-493-8796
joe
 inc is 197 dec 233
info MELTON STEPHEN        261-556-3378 swapped w/ BULLOCK JANIE        386-523-8265
joe
 inc is 198 dec 232
info SIMPSON MARIANA        687-148-9388 swapped w/ BAXTER DENIS        211-224-2341
joe
 inc is 200 dec 231
info PRICE STEVEN        494-795-7029 swapped w/ DOTSON AMALIA        584-920-1770
joe
 inc is 201 dec 229
info RYAN ELBERT        740-183-6713 swapped w/ CRANE JAN        311-462-1428
joe
 inc is 202 dec 228
info NOLAN ORA        303-632-4697 swapped w/ GILL ALYCE        885-523-9508
joe
 inc is 205 dec 226
info KNOX MINNIE        396-356-3025 swapped w/ CARPENTER AMALIA        759-875-5498
joe
 inc is 206 dec 225
info LINDSEY ANGIE        564-887-8256 swapped w/ HARRELL SEAN        397-317-8665
joe
 inc is 207 dec 220
info PARRISH TIM        953-731-4520 swapped w/ BOONE RICH        860-913-7337
joe
 inc is 214 dec 219
info MCKEE EVANGELINA        980-547-6431 swapped w/ HUGHES OLIVE        986-828-9886
joe
 inc is 217 dec 218
info SCHROEDER WILLIAM        835-803-9371 swapped w/ HARRIS BARBARA        503-816-4522
joe
 inc is 218 dec 217
start 0 end 217
 main execution 
hellend 
at 132 and 217
pivindex HERRERA ESTEBAN        658-390-7987 and end is HARRIS BARBARA        503-816-4522
info JOYNER REUBEN        695-189-8800 swapped w/ BARRERA LUPE        519-879-5902
joe
 inc is 4 dec 214
info HINTON PANSY        757-313-3457 swapped w/ BOOTH MIGUEL        311-118-4857
joe
 inc is 7 dec 213
info JUAREZ HATTIE        245-845-7516 swapped w/ BOONE RICH        860-913-7337
joe
 inc is 15 dec 212
info HOOD FORREST        584-536-2384 swapped w/ GROSS MARIA        826-919-2737
joe
 inc is 24 dec 211
info HOUSE EDUARDO        932-210-6944 swapped w/ DUNCAN OLA        651-776-7945
joe
 inc is 28 dec 210
info HOBBS MARI        381-340-1141 swapped w/ HEATH KATIE        313-922-1775
joe
 inc is 37 dec 208
info HUNT ARIEL        904-163-5301 swapped w/ GRIFFIN ELISE        700-972-3629
joe
 inc is 41 dec 207
info HOGAN NATASHA        255-355-3957 swapped w/ BARNES LEWIS        481-841-5875
joe
 inc is 43 dec 206
info HULL CARLENE        354-449-3447 swapped w/ HARRELL SEAN        397-317-8665
joe
 inc is 47 dec 205
info HORN KIMBERLY        638-600-1761 swapped w/ CARPENTER AMALIA        759-875-5498
joe
 inc is 77 dec 204
info HUFF BEAU        353-961-3508 swapped w/ GILL ALYCE        885-523-9508
joe
 inc is 85 dec 203
info JACOBS JOSH        560-812-5613 swapped w/ BARRERA JOHNATHON        599-659-8631
joe
 inc is 87 dec 202
info JENNINGS DARYL        829-191-9342 swapped w/ BEASLEY IRVIN        402-465-5920
joe
 inc is 97 dec 201
info HUTCHINSON FORREST        400-788-2462 swapped w/ CRANE JAN        311-462-1428
joe
 inc is 98 dec 200
info JUAREZ JASON        390-711-2319 swapped w/ DOTSON AMALIA        584-920-1770
joe
 inc is 104 dec 199
info HIGGINS ALI        316-652-2499 swapped w/ BAXTER DENIS        211-224-2341
joe
 inc is 106 dec 198
info HORTON MEAGAN        779-355-6445 swapped w/ BULLOCK JANIE        386-523-8265
joe
 inc is 111 dec 196
info JARVIS MARYANNE        921-982-9194 swapped w/ BRIDGES FOREST        623-493-8796
joe
 inc is 113 dec 195
info JARVIS JESS        413-877-1086 swapped w/ AYALA LORENE        735-812-7788
joe
 inc is 119 dec 194
info JOHNS LUELLA        363-512-4319 swapped w/ FOX DAMION        617-224-1783
joe
 inc is 120 dec 193
info HOGAN MARVA        695-616-2279 swapped w/ CHASE ALISHA        357-394-2073
joe
 inc is 134 dec 192
info HUNTER LEE        490-165-5678 swapped w/ ALSTON AMOS        650-705-2744
joe
 inc is 144 dec 191
info HIGGINS NEWTON        688-129-4517 swapped w/ GLENN KARA        719-129-7601
joe
 inc is 158 dec 189
info HUBER MARLENE        386-534-6259 swapped w/ BRYANT ELWOOD        342-871-3991
joe
 inc is 165 dec 187
info HOWE FOREST        584-806-4564 swapped w/ BARR HANNAH        305-948-6520
joe
 inc is 166 dec 186
info HOWARD JOESPH        471-612-1776 swapped w/ FULTON MERVIN        604-304-7596
joe
 inc is 173 dec 185
info JOHNSTON TAYLOR        336-206-8066 swapped w/ BRYANT TRACIE        987-557-3377
joe
 inc is 178 dec 184
 inc is 185 dec 184
start 0 end 184
 main execution 
hellend 
at 122 and 184
pivindex ADKINS VANCE        978-845-2781 and end is GARCIA DAMION        689-508-1540
info BEST ROLANDO        358-712-8249 swapped w/ ACEVEDO AURELIO        593-149-3903
joe
 inc is 1 dec 181
 inc is 1 dec 0
start 0 end 0
return 1 and 0
start 2 end 184
 main execution 
hellend 
at 25 and 184
pivindex CHRISTENSEN SCOTTIE        919-739-2004 and end is HERNANDEZ ADA        831-439-9852
info CRAWFORD ROXANNE        264-899-7458 swapped w/ BENDER KRISTY        459-556-4547
joe
 inc is 3 dec 182
info GLOVER HELENE        501-462-5596 swapped w/ BEST ROLANDO        358-712-8249
joe
 inc is 6 dec 181
info HARTMAN JEAN        904-952-8131 swapped w/ BRYANT TRACIE        987-557-3377
joe
 inc is 8 dec 176
info CLARK CAROL        255-245-5868 swapped w/ BUTLER RUFUS        227-547-7380
joe
 inc is 9 dec 175
info GONZALEZ PATRICA        255-620-8841 swapped w/ CANNON LEO        321-664-7626
joe
 inc is 11 dec 174
info GARDNER JUSTIN        693-534-9847 swapped w/ BALDWIN ANDRES        475-935-6594
joe
 inc is 12 dec 173
info FRENCH BRAIN        296-705-8978 swapped w/ BALLARD LILLY        396-967-4975
joe
 inc is 14 dec 170
info COLE SANG        658-277-5402 swapped w/ BRAY MARGARITA        529-363-5416
joe
 inc is 16 dec 166
info FRANCO JAN        322-877-5687 swapped w/ ALSTON WILMER        677-377-7681
joe
 inc is 17 dec 165
info DRAKE JOSH        819-815-6887 swapped w/ BARR HANNAH        305-948-6520
joe
 inc is 18 dec 164
info HARRINGTON DARLA        464-979-7871 swapped w/ BRYANT ELWOOD        342-871-3991
joe
 inc is 19 dec 163
info DAY PHILIP        829-513-1141 swapped w/ BATES ROSLYN        230-909-5162
joe
 inc is 21 dec 154
info GROSS MARIA        826-919-2737 swapped w/ BROWNING TREY        611-257-2891
joe
 inc is 24 dec 151
info HERNANDEZ ADA        831-439-9852 swapped w/ ALBERT EDWARDO        228-986-5799
joe
 inc is 26 dec 150
info DUNCAN OLA        651-776-7945 swapped w/ ALVARADO ALDO        568-643-2489
joe
 inc is 28 dec 149
info GAY ROSIE        811-109-8145 swapped w/ ALSTON AMOS        650-705-2744
joe
 inc is 29 dec 142
info DICKSON MARQUITA        894-541-8840 swapped w/ BAXTER DANNIE        591-238-2136
joe
 inc is 33 dec 141
info FROST MONROE        225-431-3638 swapped w/ BURKS JOHNNY        961-676-6320
joe
 inc is 35 dec 135
info HEATH KATIE        313-922-1775 swapped w/ BLAIR DENISE        862-218-9826
joe
 inc is 37 dec 133
info CHRISTIAN DOREEN        419-721-4283 swapped w/ CHASE ALISHA        357-394-2073
joe
 inc is 38 dec 132
info CLEMENTS ROSE        718-249-2084 swapped w/ ANDREWS CLAUDINE        651-318-2387
joe
 inc is 39 dec 127
info GRIFFIN ELISE        700-972-3629 swapped w/ CALLAHAN NOAH        829-226-4833
joe
 inc is 41 dec 123
info CLAY BRIGITTE        858-930-6534 swapped w/ BENSON IRWIN        429-270-1102
joe
 inc is 42 dec 122
info GUZMAN ADAN        825-683-9646 swapped w/ CARSON ISSAC        228-471-2723
joe
 inc is 44 dec 120
info HARRELL SEAN        397-317-8665 swapped w/ AYALA LORENE        735-812-7788
joe
 inc is 47 dec 117
info ENGLISH MARCIA        523-319-4287 swapped w/ CHANDLER MARI        284-287-1658
joe
 inc is 49 dec 116
info HART JOSEF        476-790-9808 swapped w/ CAREY DAMION        948-926-7491
joe
 inc is 50 dec 113
info GAMBLE DIXIE        858-365-8170 swapped w/ BRIDGES FOREST        623-493-8796
joe
 inc is 51 dec 111
info DONOVAN VERONICA        725-612-5630 swapped w/ CALDWELL JEREMY        892-352-6533
joe
 inc is 52 dec 110
info FOSTER JAYNE        383-692-1344 swapped w/ BULLOCK JANIE        386-523-8265
joe
 inc is 54 dec 109
info GONZALEZ ETHAN        632-638-3431 swapped w/ BAXTER DENIS        211-224-2341
joe
 inc is 55 dec 104
info ERICKSON EARLINE        885-527-1222 swapped w/ BENNETT EMERSON        437-721-5550
joe
 inc is 57 dec 103
info GREEN SUMMER        868-995-6898 swapped w/ BATES LOYD        785-721-8253
joe
 inc is 58 dec 101
info CLARKE KRYSTAL        755-778-5251 swapped w/ BEASLEY IRVIN        402-465-5920
joe
 inc is 60 dec 95
info HALE BURT        396-761-6595 swapped w/ CASEY HEATHER        932-137-4085
joe
 inc is 61 dec 89
info CLAYTON ESTELLE        462-137-9437 swapped w/ BARRERA JOHNATHON        599-659-8631
joe
 inc is 64 dec 85
info HAMMOND SAUNDRA        625-718-9665 swapped w/ BOYLE HECTOR        550-676-5781
joe
 inc is 68 dec 80
info COOPER ELBA        401-902-3399 swapped w/ ALLEN ALAN        805-953-9939
joe
 inc is 70 dec 78
info DRAKE SHERI        956-541-5463 swapped w/ BURGESS RUTH        508-120-6349
joe
 inc is 71 dec 77
info GRAY DAMION        930-736-6049 swapped w/ BRIGGS BRANDI        971-570-4563
joe
 inc is 72 dec 76
info CROSBY RICKY        301-180-1574 swapped w/ CARPENTER AMALIA        759-875-5498
joe
 inc is 74 dec 75
 inc is 74 dec 73
start 2 end 73
 main execution 
hellend 
at 49 and 73
pivindex CAREY DAMION        948-926-7491 and end is CARPENTER AMALIA        759-875-5498
info CARNEY JESSE        782-102-5705 swapped w/ BRADY MAC        741-860-5058
joe
 inc is 27 dec 71
info CHERRY EMIL        716-959-7642 swapped w/ BRIGGS BRANDI        971-570-4563
joe
 inc is 30 dec 70
info CERVANTES DONA        630-285-3019 swapped w/ BURGESS RUTH        508-120-6349
joe
 inc is 31 dec 69
info CHASE ALISHA        357-394-2073 swapped w/ ALLEN ALAN        805-953-9939
joe
 inc is 38 dec 68
info CARSON ISSAC        228-471-2723 swapped w/ BRIGGS MATHEW        835-171-3147
joe
 inc is 44 dec 67
info CHANDLER MARI        284-287-1658 swapped w/ BOYLE HECTOR        550-676-5781
joe
 inc is 49 dec 66
info CARPENTER AMALIA        759-875-5498 swapped w/ ATKINSON THANH        690-587-3281
joe
 inc is 50 dec 65
info CHAVEZ FAY        658-474-4263 swapped w/ BATTLE OLA        409-298-8793
joe
 inc is 56 dec 64
info CASEY HEATHER        932-137-4085 swapped w/ ALSTON AMOS        660-802-6973
joe
 inc is 61 dec 63
 inc is 64 dec 63
start 2 end 63
 main execution 
hellend 
at 32 and 63
pivindex BAXTER DANNIE        591-238-2136 and end is BARRERA JOHNATHON        599-659-8631
info BENDER KRISTY        459-556-4547 swapped w/ ALSTON AMOS        660-802-6973
joe
 inc is 3 dec 59
info BENJAMIN JUNIOR        482-984-7235 swapped w/ BATES LOYD        785-721-8253
joe
 inc is 5 dec 56
info BEST ROLANDO        358-712-8249 swapped w/ BATTLE OLA        409-298-8793
joe
 inc is 6 dec 54
info BOOTH MIGUEL        311-118-4857 swapped w/ AUSTIN MOHAMED        369-222-4368
joe
 inc is 7 dec 51
info BRYANT TRACIE        987-557-3377 swapped w/ ATKINSON THANH        690-587-3281
joe
 inc is 8 dec 48
info BUTLER RUFUS        227-547-7380 swapped w/ AGUILAR BRITNEY        804-365-4978
joe
 inc is 9 dec 46
info CANNON LEO        321-664-7626 swapped w/ AYALA LORENE        735-812-7788
joe
 inc is 11 dec 45
info BAXTER LYDIA        818-168-3635 swapped w/ BARNES ANTONIO        421-967-7039
joe
 inc is 13 dec 44
info BOONE RICH        860-913-7337 swapped w/ ANTHONY JOE        338-380-7369
joe
 inc is 15 dec 43
info BRAY MARGARITA        529-363-5416 swapped w/ BARNES LEWIS        481-841-5875
joe
 inc is 16 dec 41
info BRYANT ELWOOD        342-871-3991 swapped w/ ANDREWS CLAUDINE        651-318-2387
joe
 inc is 19 dec 37
info BLAIR CECELIA        253-791-2676 swapped w/ ALLEN ALAN        805-953-9939
joe
 inc is 20 dec 36
info BIRD NOLAN        678-687-8788 swapped w/ BARRERA JOHNATHON        599-659-8631
joe
 inc is 22 dec 31
info BROWNING TREY        611-257-2891 swapped w/ BANKS MARISSA        277-327-3380
joe
 inc is 24 dec 30
info BRADY MAC        741-860-5058 swapped w/ ALSTON AMOS        650-705-2744
joe
 inc is 27 dec 27
 inc is 28 dec 27
start 2 end 27
 main execution 
hellend 
at 8 and 27
pivindex AGUILAR BRITNEY        804-365-4978 and end is ALVARADO ALDO        568-643-2489
info ALSTON AMOS        660-802-6973 swapped w/ ALSTON AMOS        660-802-6973
joe
 inc is 3 dec 1
start 2 end 2
return 1 and 0
start 4 end 27
 main execution 
hellend 
at 14 and 27
pivindex ANTHONY JOE        338-380-7369 and end is BARRERA LUPE        519-879-5902
info BATES LOYD        785-721-8253 swapped w/ ALSTON AMOS        650-705-2744
joe
 inc is 5 dec 25
info BATTLE OLA        409-298-8793 swapped w/ ALBERT EDWARDO        228-986-5799
joe
 inc is 6 dec 24
info AUSTIN MOHAMED        369-222-4368 swapped w/ ALLEN ALAN        805-953-9939
joe
 inc is 7 dec 18
info ATKINSON THANH        690-587-3281 swapped w/ ANDREWS CLAUDINE        651-318-2387
joe
 inc is 8 dec 17
info AYALA LORENE        735-812-7788 swapped w/ ALSTON WILMER        677-377-7681
joe
 inc is 11 dec 15
 inc is 11 dec 10
start 4 end 10
 main execution 
hellend 
at 6 and 10
pivindex ALLEN ALAN        805-953-9939 and end is ALSTON WILMER        677-377-7681
info ALSTON AMOS        650-705-2744 swapped w/ ALBERT EDWARDO        228-986-5799
joe
 inc is 5 dec 4
start 4 end 4
return 1 and 0
start 6 end 10
 main execution 
hellend 
at 10 and 10
pivindex ALSTON AMOS        650-705-2744 and end is ALSTON AMOS        650-705-2744
info ALSTON WILMER        677-377-7681 swapped w/ ALSTON WILMER        677-377-7681
joe
 inc is 7 dec 5
start 6 end 6
return 1 and 0
start 8 end 10
 main execution 
hellend 
at 8 and 10
pivindex ALVARADO ALDO        568-643-2489 and end is ANDREWS CLAUDINE        651-318-2387
info ANDREWS CLAUDINE        651-318-2387 swapped w/ ANDREWS CLAUDINE        651-318-2387
joe
 inc is 9 dec 7
start 8 end 8
return 1 and 0
start 10 end 10
return 1 and 0
start 12 end 27
 main execution 
hellend 
at 19 and 27
pivindex AUSTIN MOHAMED        369-222-4368 and end is BALDWIN ANDRES        475-935-6594
info BARNES ANTONIO        421-967-7039 swapped w/ ATKINSON THANH        690-587-3281
joe
 inc is 13 dec 17
 inc is 13 dec 12
start 12 end 12
return 1 and 0
start 14 end 27
 main execution 
hellend 
at 19 and 27
pivindex BALDWIN ANDRES        475-935-6594 and end is BALLARD LILLY        396-967-4975
info BARRERA LUPE        519-879-5902 swapped w/ AYALA LORENE        735-812-7788
joe
 inc is 15 dec 15
 inc is 15 dec 14
start 14 end 14
return 1 and 0
start 16 end 27
 main execution 
hellend 
at 20 and 27
pivindex BATES ROSLYN        230-909-5162 and end is BARNES LEWIS        481-841-5875
info BAUER LOUIS        765-480-4367 swapped w/ BATES LOYD        785-721-8253
joe
 inc is 25 dec 25
 inc is 25 dec 24
start 16 end 24
 main execution 
hellend 
at 24 and 24
pivindex BATES LOYD        785-721-8253 and end is BATES LOYD        785-721-8253
 inc is 24 dec 23
start 16 end 23
 main execution 
hellend 
at 23 and 23
pivindex BANKS MARISSA        277-327-3380 and end is BANKS MARISSA        277-327-3380
info BARRERA LUPE        519-879-5902 swapped w/ BALLARD LILLY        396-967-4975
joe
 inc is 17 dec 18
 inc is 17 dec 16
start 16 end 16
return 1 and 0
start 18 end 23
 main execution 
hellend 
at 23 and 23
pivindex BARR HANNAH        305-948-6520 and end is BARR HANNAH        305-948-6520
info BARRERA LUPE        519-879-5902 swapped w/ BARBER ISABEL        288-811-9425
joe
 inc is 20 dec 21
 inc is 21 dec 20
start 18 end 20
 main execution 
hellend 
at 20 and 20
pivindex BARNES LEWIS        481-841-5875 and end is BARNES LEWIS        481-841-5875
 inc is 20 dec 19
start 18 end 19
start 21 end 20
return 1 and -1
start 22 end 23
start 25 end 24
return 1 and -1
start 26 end 27
start 29 end 63
 main execution 
hellend 
at 46 and 63
pivindex CANNON LEO        321-664-7626 and end is BRADY MAC        741-860-5058
 inc is 63 dec 62
start 29 end 62
 main execution 
hellend 
at 61 and 62
pivindex BEST JUSTIN        868-811-5859 and end is BROWNING STEFANIE        287-561-4048
info BRIGGS BRANDI        971-570-4563 swapped w/ BENDER KRISTY        459-556-4547
joe
 inc is 30 dec 59
info BURGESS RUTH        508-120-6349 swapped w/ BEASLEY IRVIN        402-465-5920
joe
 inc is 31 dec 58
info BROWNING TREY        611-257-2891 swapped w/ BENJAMIN JUNIOR        482-984-7235
joe
 inc is 32 dec 56
info BIRD NOLAN        678-687-8788 swapped w/ BENNETT EMERSON        437-721-5550
joe
 inc is 33 dec 55
info BREWER ERIK        206-872-3009 swapped w/ BAXTER DENIS        211-224-2341
joe
 inc is 34 dec 53
info BURKS JOHNNY        961-676-6320 swapped w/ BAXTER LYDIA        818-168-3635
joe
 inc is 35 dec 44
info BLAIR DENISE        862-218-9826 swapped w/ BENSON IRWIN        429-270-1102
joe
 inc is 37 dec 40
 inc is 37 dec 36
start 29 end 36
 main execution 
hellend 
at 36 and 36
pivindex BENSON IRWIN        429-270-1102 and end is BENSON IRWIN        429-270-1102
 inc is 35 dec 34
start 29 end 34
 main execution 
hellend 
at 34 and 34
pivindex BAXTER LYDIA        818-168-3635 and end is BAXTER LYDIA        818-168-3635
info BENDER KRISTY        459-556-4547 swapped w/ BAXTER DENIS        211-224-2341
joe
 inc is 30 dec 32
 inc is 30 dec 29
start 29 end 29
return 1 and 0
start 31 end 34
 main execution 
hellend 
at 34 and 34
pivindex BEASLEY IRVIN        402-465-5920 and end is BEASLEY IRVIN        402-465-5920
info BENJAMIN JUNIOR        482-984-7235 swapped w/ BENJAMIN JUNIOR        482-984-7235
joe
 inc is 32 dec 30
start 31 end 31
return 1 and 0
start 33 end 34
start 36 end 36
return 1 and 0
start 38 end 62
 main execution 
hellend 
at 40 and 62
pivindex CALLAHAN NOAH        829-226-4833 and end is BLAIR CECELIA        253-791-2676
 inc is 62 dec 61
start 38 end 61
 main execution 
hellend 
at 53 and 61
pivindex BULLOCK JANIE        386-523-8265 and end is BROWNING STEFANIE        287-561-4048
info BURKS JOHNNY        961-676-6320 swapped w/ BRIGGS BRANDI        971-570-4563
joe
 inc is 46 dec 59
info BUTLER RUFUS        227-547-7380 swapped w/ BOYD ETTA        801-739-1111
joe
 inc is 48 dec 57
info CALDWELL JEREMY        892-352-6533 swapped w/ BROWNING TREY        611-257-2891
joe
 inc is 52 dec 56
 inc is 57 dec 56
start 38 end 56
 main execution 
hellend 
at 56 and 56
pivindex BIRD NOLAN        678-687-8788 and end is BIRD NOLAN        678-687-8788
info BRYANT ELWOOD        342-871-3991 swapped w/ BEST ROLANDO        358-712-8249
joe
 inc is 39 dec 54
 inc is 39 dec 38
start 38 end 38
return 1 and 0
start 40 end 56
 main execution 
hellend 
at 56 and 56
pivindex BOOTH EBONY        673-646-5443 and end is BOOTH EBONY        673-646-5443
info BRAY MARGARITA        529-363-5416 swapped w/ BOONE RICH        860-913-7337
joe
 inc is 43 dec 43
 inc is 43 dec 42
start 40 end 42
 main execution 
hellend 
at 42 and 42
pivindex BOONE RICH        860-913-7337 and end is BOONE RICH        860-913-7337
 inc is 42 dec 41
start 40 end 41
start 43 end 42
return 1 and -1
start 44 end 56
 main execution 
hellend 
at 56 and 56
pivindex BRIGGS MATHEW        835-171-3147 and end is BRIGGS MATHEW        835-171-3147
info BRYANT TRACIE        987-557-3377 swapped w/ BREWER ERIK        206-872-3009
joe
 inc is 50 dec 53
info BROWNING TREY        611-257-2891 swapped w/ BOOTH MIGUEL        311-118-4857
joe
 inc is 52 dec 51
start 44 end 51
 main execution 
hellend 
at 51 and 51
pivindex BOOTH MIGUEL        311-118-4857 and end is BOOTH MIGUEL        311-118-4857
info BRAY MARGARITA        529-363-5416 swapped w/ BRAY MARGARITA        529-363-5416
joe
 inc is 45 dec 43
start 44 end 44
return 1 and 0
start 46 end 51
 main execution 
hellend 
at 51 and 51
pivindex BRIGGS BRANDI        971-570-4563 and end is BRIGGS BRANDI        971-570-4563
 inc is 51 dec 50
start 46 end 50
 main execution 
hellend 
at 50 and 50
pivindex BRIDGES FOREST        623-493-8796 and end is BRIDGES FOREST        623-493-8796
 inc is 50 dec 49
start 46 end 49
 main execution 
hellend 
at 49 and 49
pivindex BREWER ERIK        206-872-3009 and end is BREWER ERIK        206-872-3009
 inc is 49 dec 48
start 46 end 48
 main execution 
hellend 
at 48 and 48
pivindex BOYLE HECTOR        550-676-5781 and end is BOYLE HECTOR        550-676-5781
info BRADY MAC        741-860-5058 swapped w/ BOYD ETTA        801-739-1111
joe
 inc is 47 dec 46
start 46 end 46
return 1 and 0
start 48 end 48
return 1 and 0
start 50 end 49
return 1 and -1
start 51 end 50
return 1 and -1
start 52 end 51
return 1 and -1
start 53 end 56
 main execution 
hellend 
at 54 and 56
pivindex BRYANT TRACIE        987-557-3377 and end is BROWNING TREY        611-257-2891
 inc is 56 dec 55
start 53 end 55
 main execution 
hellend 
at 55 and 55
pivindex BRYANT ELWOOD        342-871-3991 and end is BRYANT ELWOOD        342-871-3991
 inc is 55 dec 54
start 53 end 54
start 56 end 55
return 1 and -1
start 57 end 56
return 1 and -1
start 58 end 61
 main execution 
hellend 
at 58 and 61
pivindex BUTLER RUFUS        227-547-7380 and end is CALDWELL JEREMY        892-352-6533
info CALDWELL JEREMY        892-352-6533 swapped w/ BURKS JOHNNY        961-676-6320
joe
 inc is 59 dec 59
 inc is 60 dec 59
start 58 end 59
start 61 end 61
return 1 and 0
start 63 end 62
return 1 and -1
start 64 end 63
return 1 and -1
start 65 end 73
 main execution 
hellend 
at 67 and 73
pivindex CHANDLER MARI        284-287-1658 and end is CASEY HEATHER        932-137-4085
info CHAVEZ FAY        658-474-4263 swapped w/ CARNEY JESSE        782-102-5705
joe
 inc is 66 dec 71
info CHASE ALISHA        357-394-2073 swapped w/ CERVANTES DONA        630-285-3019
joe
 inc is 70 dec 69
start 65 end 69
 main execution 
hellend 
at 69 and 69
pivindex CERVANTES DONA        630-285-3019 and end is CERVANTES DONA        630-285-3019
 inc is 69 dec 68
start 65 end 68
 main execution 
hellend 
at 68 and 68
pivindex CARSON ISSAC        228-471-2723 and end is CARSON ISSAC        228-471-2723
 inc is 67 dec 66
start 65 end 66
start 68 end 68
return 1 and 0
start 70 end 69
return 1 and -1
start 71 end 73
 main execution 
hellend 
at 73 and 73
pivindex CHASE ALISHA        357-394-2073 and end is CHASE ALISHA        357-394-2073
